category,code,description
water quality,GIC ,no instrument deployed due to ice
water quality,GIM ,instrument malfunction
water quality,GIT ,instrument recording error; recovered telemetry data
water quality,GMC ,no instrument deployed due to maintenance/calibration
water quality,GNF ,deployment tube clogged / no flow
water quality,GOW ,out of water event
water quality,GPF ,power failure / low battery
water quality,GQR ,data rejected due to QA/QC checks
water quality,GSM ,see metadata
water quality,SBO ,blocked optic
water quality,SCF ,conductivity sensor failure
water quality,SDF ,depth port frozen
water quality,SDG ,suspect due to sensor diagnostics
water quality,SDO ,DO suspect
water quality,SDP ,DO membrane puncture
water quality,SIC ,incorrect calibration / contaminated standard
water quality,SNV ,negative value
water quality,SOW ,sensor out of water
water quality,SPC ,post calibration out of range
water quality,SSD ,sensor drift
water quality,SSM ,sensor malfunction
water quality,SSR ,sensor removed / not deployed
water quality,STF ,catastrophic temperature sensor failure
water quality,STS ,turbidity spike
water quality,SWM ,wiper malfunction / loss
water quality,CAB ,algal bloom
water quality,CAF ,acceptable calibration / accuracy error of sensor
water quality,CAP ,depth sensor in water; affected by atmospheric pressure
water quality,CBF ,biofouling
water quality,CCU ,cause unknown
water quality,CDA ,DO hypoxia (<3 mg/L)
water quality,CDB ,disturbed bottom
water quality,CDF ,data appear to fit conditions
water quality,CFK ,fish kill
water quality,CIP ,surface ice present at sample station
water quality,CLT ,low tide
water quality,CMC ,in field maintenance / cleaning
water quality,CMD ,mud in probe guard
water quality,CND ,new deployment begins
water quality,CRE ,significant rain event
water quality,CSM ,see metadata
water quality,CTS ,turbidity spike
water quality,CVT ,possible vandalism/tampering
water quality,CWD ,data collected at wrong depth
water quality,CWE ,significant weather event
met,GIM ,instrument malfunction
met,GIT ,"instrument recording error, recovered telemetry data"
met,GMC ,no instrument deployed due to maintenance/calibration
met,GMT ,instrument maintenance
met,GPD ,powered down
met,GPF ,power failure/low battery
met,GPR ,program reload
met,GQR ,data rejected due to QAQC
met,GSM ,see metadata
met,SDG ,suspect due to sensor diagnostics
met,SIC ,"incorrect calibration constant, multiplier or offset"
met,SIW ,incorrect wiring
met,SMT ,sensor maintenance
met,SNV ,negative value
met,SOC ,out of calibration
met,SSN ,not a number/unknown value
met,SSM ,sensor malfunction
met,SSR ,sensor removed
met,CAF ,acceptable calibration/accuracy error of sensor
met,CDF ,data appear to fit conditions
met,CML ,Snow melt from previous snowfall event
met,CRE ,significant rain event
met,CSM ,see metadata
met,CCU ,cause unknown
met,CVT ,possible vandalism/tampering
met,CWE ,significant weather event
